School,G,Overall W-L%,Overall SRS,Overall SOS,Conf. W-L%,Home W-L%,Away W-L%,AVG PPG,AVG DPPG,AVG PD,AST/TOV,PF/G,Year
Morehead St.,34,0.588,-1.88,-3.1,0.625,0.643,0.563,76.559,73.029,3.529,0.86,23.5,2014
Morgan St.,31,0.484,-5.81,-5.03,0.688,0.636,0.357,71.452,72.226,-0.774,0.978,20.9,2014
Mount St. Mary's,33,0.485,-6.32,-4.44,0.563,0.769,0.316,75.879,77.758,-1.879,1.003,18.67,2014
Murray St.,34,0.676,0.98,-3.58,0.813,0.944,0.4,77.853,71.941,5.912,1.062,18.5,2014
Navy,30,0.3,-11.95,-5.46,0.222,0.538,0.118,60.667,65.233,-4.567,1.013,18.87,2014
North Carolina St.,36,0.611,9.02,7.44,0.5,0.684,0.5,71.139,69.556,1.583,1.243,18.61,2014
Nebraska,32,0.594,10.13,8.5,0.611,0.938,0.273,66.781,65.156,1.625,0.871,20.63,2014
Nevada,32,0.469,1.98,3.48,0.556,0.467,0.571,72.375,73.875,-1.5,1.042,18.88,2014
UNLV,33,0.606,8.55,2.76,0.556,0.632,0.545,71.364,65.576,5.788,1.191,15.76,2014
New Hampshire,30,0.2,-13.97,-5.9,0.25,0.214,0.2,57.833,64.833,-7,0.745,19.43,2014
New Mexico,34,0.794,12.72,4.84,0.833,0.867,0.8,74,66.118,7.882,1.446,16.97,2014
New Mexico St.,36,0.722,6.16,-2.58,0.75,0.933,0.533,76.972,67.083,9.889,1.037,17.06,2014
New Orleans,26,0.423,-15.03,-5.53,0.444,0.5,0.357,71.462,76.423,-4.962,0.723,21,2014
Niagara,33,0.212,-8.16,-1.34,0.15,0.308,0.067,75.273,82.091,-6.818,0.733,23.76,2014
Nicholls St.,29,0.483,-13.13,-7.67,0.556,0.818,0.25,68.483,72.897,-4.414,1.094,23.62,2014
NJIT,29,0.448,-12.52,-7.48,NA,0.538,0.375,72.724,71.069,1.655,1.04,20.17,2014
Norfolk St.,34,0.559,-7.82,-7.17,0.688,0.636,0.467,71.412,70.529,0.882,1.018,19.74,2014
North Carolina,34,0.706,15.24,8.42,0.722,0.833,0.545,76.588,69.765,6.824,1.288,20.29,2014
North Carolina A&T,32,0.281,-16.43,-7.4,0.313,0.583,0.056,65.281,73.188,-7.906,0.607,23.19,2014
North Carolina Central,34,0.824,3.97,-8.03,0.941,1,0.688,73.912,59.5,14.412,1.285,19.41,2014
North Dakota,34,0.5,-6.84,-3.78,0.6,0.786,0.267,74.294,74.618,-0.324,1.103,20.32,2014
North Dakota St.,33,0.788,6.31,-0.02,0.857,0.923,0.667,75.515,65.576,9.939,1.175,17.82,2014
North Florida,32,0.5,-7.52,-3.32,0.556,0.643,0.389,72.438,74.281,-1.844,0.83,18.78,2014
North Texas,32,0.5,-4.67,-1.53,0.375,0.563,0.5,69.625,72.281,-2.656,0.8,20.16,2014
Northeastern,32,0.344,-3.11,-0.3,0.438,0.333,0.308,65.906,68.719,-2.813,0.883,17.28,2014
Northern Arizona,32,0.469,-6.6,-4.37,0.6,0.692,0.375,67,68.406,-1.406,0.851,17.63,2014
Northern Colorado,32,0.563,-4.33,-6.09,0.55,0.813,0.267,73.875,70.25,3.625,1.063,19.56,2014
Northern Illinois,32,0.469,-3.54,-1.28,0.444,0.588,0.357,62.25,62.875,-0.625,0.577,20.06,2014
Northern Iowa,31,0.516,5.29,2.85,0.556,0.846,0.231,72.774,69.323,3.452,1.321,18.32,2014
Northern Kentucky,30,0.3,-10.53,-4.97,0.278,0.5,0.143,68.133,73.7,-5.567,0.96,20.8,2014
Northwestern,33,0.424,4.72,8.57,0.333,0.471,0.417,59.515,63.364,-3.848,1.011,18.45,2014
Northwestern St.,31,0.548,-3.59,-4.66,0.667,0.769,0.375,86.645,83.839,2.806,1.221,20.48,2014
Notre Dame,32,0.469,8.19,6.78,0.333,0.684,0.1,71.969,70.563,1.406,1.462,16.19,2014
Oakland,33,0.394,-2.23,2.78,0.438,0.667,0.214,74.394,77.394,-3,1.422,19.94,2014
Ohio,37,0.676,2.7,-1.17,0.611,0.667,0.714,71.541,67.027,4.514,1.177,19.08,2014
Ohio St.,35,0.714,17.84,8.12,0.556,0.85,0.5,69.486,59.771,9.714,1.069,16.49,2014
Oklahoma,33,0.697,14.91,8.97,0.667,0.824,0.556,81.939,76,5.939,1.285,18.94,2014
Oklahoma St.,34,0.618,19.02,8.34,0.444,0.813,0.3,80.235,69.559,10.676,1.301,20,2014
Old Dominion,36,0.5,-1.12,-0.81,0.563,0.667,0.357,64.194,64.5,-0.306,0.806,19.69,2014
Omaha,32,0.531,-1.19,-2.78,0.357,0.733,0.353,79.938,75.125,4.813,1.223,18.59,2014
Oral Roberts,33,0.515,-2.94,-4.43,0.556,0.692,0.313,71.424,69.303,2.121,1.059,19.52,2014
Oregon,34,0.706,15.75,8.05,0.556,0.833,0.5,81.853,74.147,7.706,1.265,21.32,2014
Oregon St.,32,0.5,6.03,5.87,0.444,0.706,0.25,75.781,75.625,0.156,0.995,18.97,2014
Pacific,34,0.529,1.74,3.25,0.333,0.667,0.357,73.059,74.206,-1.147,1.019,22.56,2014
Penn St.,34,0.471,7.68,7.06,0.333,0.556,0.333,70.853,70.235,0.618,1.064,20.91,2014
Penn,28,0.286,-6.59,-0.01,0.357,0.429,0.143,68.25,74.821,-6.571,0.903,22.61,2014
Pepperdine,31,0.484,0.8,2.6,0.444,0.571,0.462,71.161,72.484,-1.323,1.129,18.84,2014
Pittsburgh,36,0.722,17.46,7.54,0.611,0.722,0.778,71.833,61.917,9.917,1.509,17.22,2014
Portland,31,0.484,4.77,1.73,0.389,0.625,0.25,75.065,72.032,3.032,1.29,20,2014
Portland St.,32,0.531,-7.59,-5.59,0.55,0.706,0.308,72.5,72.219,0.281,1.123,19.25,2014
Prairie View,34,0.324,-16.72,-7.99,0.333,0.5,0.111,69.471,77.147,-7.676,0.739,21.94,2014
Presbyterian,32,0.188,-20.71,-7.51,0.125,0.385,0.063,65.375,76.406,-11.031,0.935,15.44,2014
Princeton,30,0.7,3.01,-2.4,0.571,0.846,0.6,70.6,64.367,6.233,1.287,16.93,2014
Providence,35,0.657,11.37,7.85,0.556,0.813,0.455,73.314,69.8,3.514,1.172,17.23,2014
Purdue,32,0.469,8.21,7.62,0.278,0.706,0.2,72.25,71.656,0.594,1.066,20.69,2014
Purdue-Fort Wayne,36,0.694,-0.2,-3.87,0.714,0.867,0.5,77.056,70.972,6.083,1.191,16.72,2014
Quinnipiac,32,0.625,-0.13,-2.41,0.7,0.769,0.5,78.781,76.5,2.281,1.005,19.47,2014
Radford,35,0.629,-7.9,-8.31,0.625,0.714,0.529,77.971,74.286,3.686,1.201,18.91,2014
Rhode Island,32,0.438,2.87,3.26,0.294,0.625,0.214,67.781,68.063,-0.281,0.854,20.34,2014
Rice,30,0.233,-9.43,-0.43,0.125,0.357,0.083,61.767,69.433,-7.667,1.051,18.97,2014
Richmond,33,0.576,5.7,4.3,0.5,0.75,0.385,66.545,65.152,1.394,0.994,19.27,2014
Rider,31,0.452,-4.34,-1.69,0.45,0.462,0.429,73.935,76.581,-2.645,0.922,20.1,2014
Robert Morris,36,0.611,-3.52,-3.79,0.875,0.8,0.476,72.028,71.75,0.278,1.083,18.22,2014
Rutgers,33,0.364,-0.29,5.8,0.278,0.5,0.091,71.121,76.212,-5.091,1.002,20.64,2014
Sacramento St.,30,0.467,-8.04,-5.54,0.5,0.786,0.2,69,69.3,-0.3,1.189,21.13,2014
Sacred Heart,31,0.161,-12.93,-5.97,0.125,0.091,0.235,69.742,76.71,-6.968,1.026,19.94,2014
Saint Francis (PA),31,0.323,-13.2,-5.65,0.438,0.385,0.278,61.806,69.355,-7.548,1.084,15.52,2014
Saint Joseph's,34,0.706,9.05,5.08,0.688,0.733,0.667,71.559,67.588,3.971,1.164,16,2014
Saint Louis,34,0.794,11.63,4.24,0.813,0.824,0.917,69.824,61.912,7.912,1.118,17.56,2014
Saint Mary's,35,0.657,9.35,4.29,0.611,0.842,0.5,71.486,65.486,6,1.051,19.37,2014
Saint Peter's,31,0.452,-5.88,-3.27,0.45,0.615,0.313,63.258,65.871,-2.613,0.812,18.32,2014
Sam Houston St.,35,0.686,-4.45,-7.6,0.722,0.857,0.5,75.629,69.457,6.171,1.233,21.31,2014
Samford,33,0.394,-14.91,-7.41,0.375,0.714,0.118,70.515,76.394,-5.879,1.069,21.03,2014
San Diego,35,0.514,2.16,1.97,0.389,0.588,0.429,67.486,65.229,2.257,0.988,18.63,2014
San Diego St.,36,0.861,14.95,4.86,0.889,0.938,0.818,70.278,57,13.278,1.003,16.67,2014
San Francisco,33,0.636,5.92,4.28,0.722,0.684,0.583,74.818,71.424,3.394,1.257,19.52,2014
San Jose St.,31,0.226,-7.96,3.05,0.056,0.308,0.2,62.516,71.677,-9.161,0.832,20.55,2014
Santa Clara,33,0.424,0.88,3.01,0.333,0.467,0.385,70.909,70.455,0.455,1.225,20.09,2014
Savannah St.,32,0.406,-9.57,-5.37,0.625,0.583,0.313,61.5,64.281,-2.781,0.665,20.91,2014
Seattle,30,0.433,-5.86,-4.11,0.313,0.5,0.357,71.3,70.633,0.667,0.94,22.07,2014
Seton Hall,34,0.5,7.53,5.56,0.333,0.556,0.364,71.824,69.853,1.971,1.089,19.85,2014
Siena,38,0.526,-0.86,-0.15,0.55,0.737,0.4,69.342,70.053,-0.711,0.983,22.47,2014
South Alabama,31,0.355,-5.08,-0.51,0.278,0.625,0.077,68.903,70.387,-1.484,0.918,20.03,2014
South Carolina,34,0.412,5.41,6.96,0.278,0.563,0.083,68.324,69.882,-1.559,0.858,22.68,2014
South Carolina St.,30,0.3,-17.21,-5.96,0.313,0.538,0.125,62.767,72.667,-9.9,0.805,19.23,2014
South Carolina UpSt.,34,0.559,-2.02,-4.61,0.611,0.8,0.294,73.294,67.118,6.176,1.274,18.21,2014
South Dakota,30,0.4,-7.07,-0.81,0.429,0.769,0.133,69.467,71.733,-2.267,1.027,17.4,2014
South Dakota St.,32,0.594,-0.17,-1.93,0.714,0.769,0.467,72.344,68.688,3.656,1.105,17.53,2014
South Florida,32,0.375,-0.52,4.6,0.167,0.412,0.417,65.625,70.75,-5.125,0.978,17.69,2014
Southeast Missouri St.,32,0.563,-5.49,-6.59,0.5,0.692,0.357,82.938,78.563,4.375,1.272,20.03,2014
Southeastern Louisiana,30,0.4,-13.06,-7.67,0.389,0.615,0.267,69.5,72.4,-2.9,0.967,19.77,2014
Southern,32,0.594,-4.22,-7.95,0.833,0.714,0.529,71.188,62.688,8.5,0.986,21.41,2014
USC,32,0.344,2.6,8.02,0.111,0.5,0.167,70.563,75.313,-4.75,0.9,19.63,2014
Southern Illinois,33,0.424,-0.46,0.23,0.5,0.643,0.214,66.909,66.909,0,0.817,19.15,2014
SIU Edwardsville,31,0.355,-10.61,-5.33,0.438,0.643,0.143,73.032,76.258,-3.226,1.016,20.23,2014
SMU,37,0.73,13.73,4.97,0.667,0.947,0.5,71,62.243,8.757,1.136,18.7,2014
Southern Miss,36,0.806,6.84,-0.08,0.813,1,0.625,72.111,63.333,8.778,1.088,20.64,2014
Southern Utah,29,0.069,-19.9,-3.19,0.05,0.154,0,58.966,74.862,-15.897,0.777,23.28,2014
St. Bonaventure,33,0.545,5.92,2.64,0.375,0.714,0.308,73.364,70.091,3.273,1.047,20.24,2014
St. Francis (NY),32,0.563,-4.64,-5.9,0.563,0.769,0.389,68.969,66.844,2.125,0.948,19.97,2014
St. John's,33,0.606,11.68,6.56,0.556,0.737,0.444,72.818,67.697,5.121,1.229,18.88,2014
Stanford,36,0.639,13.42,9,0.556,0.75,0.545,72.667,68.25,4.417,1.015,18.19,2014
Stephen F. Austin,35,0.914,4.82,-6.76,1,1,0.875,76.029,63.4,12.629,1.461,20.86,2014
Stetson,31,0.226,-15.81,-4.97,0.278,0.5,0.063,61.806,72.645,-10.839,0.966,17.06,2014
Stony Brook,34,0.676,-1.71,-6.47,0.813,0.8,0.571,71.353,66.265,5.088,1.019,19.03,2014
Syracuse,34,0.824,16.05,7.25,0.778,0.889,0.8,67.971,59.176,8.794,1.314,16.06,2014
TCU,31,0.29,-1.33,7.9,0,0.333,0.25,63.645,72.484,-8.839,0.978,17.23,2014
Temple,31,0.29,2.69,6.88,0.222,0.308,0.182,73.903,78.097,-4.194,1.287,18.48,2014
Tennessee,37,0.649,17.34,7.84,0.611,0.824,0.364,72.216,61.703,10.514,1.216,16.68,2014
Tennessee St.,30,0.167,-9.82,-1.99,0.25,0.231,0.133,68.7,75.5,-6.8,0.846,21.37,2014
Tennessee Tech,33,0.515,-8.09,-4.57,0.563,0.714,0.4,72,72,0,0.838,22.09,2014
Tennessee-Martin,31,0.258,-13.45,-4.82,0.188,0.333,0.188,74.323,81.484,-7.161,1.18,21.1,2014
Texas,35,0.686,12.67,9.15,0.611,0.889,0.4,74.229,70.714,3.514,1.061,19.11,2014
Texas A&M,34,0.529,5.5,3.62,0.444,0.85,0.1,64.676,62.794,1.882,1.137,17.91,2014
Texas A&M-Corpus Christi,34,0.529,-6.41,-6.69,0.778,0.588,0.5,69.118,68,1.118,1.049,20.15,2014
Texas Southern,34,0.559,-8.41,-10.07,0.667,0.818,0.353,76,73.882,2.118,1.048,16.5,2014
Texas St.,31,0.258,-7.74,-1.4,0.222,0.357,0.071,61.387,66.032,-4.645,0.809,18.1,2014
Texas Tech,32,0.438,8.61,8.61,0.333,0.647,0.167,68.438,68.438,0,0.951,18.91,2014
Texas-Rio Grande Valley,32,0.281,-10.65,-4.42,0.313,0.231,0.313,65.656,70.688,-5.031,1.023,20.72,2014
The Citadel,33,0.212,-17.61,-6.75,0.125,0.429,0,67,74.333,-7.333,1.073,19.09,2014
Toledo,34,0.794,3.3,-1.46,0.778,1,0.6,79.235,73.235,6,1.468,17.41,2014
Towson,36,0.694,0.55,-3.06,0.813,0.938,0.529,73.139,68.806,4.333,0.855,19.75,2014
Troy,31,0.355,-6.17,-2.9,0.333,0.571,0.214,68.419,70.032,-1.613,0.91,15.9,2014
Tulane,34,0.5,-7.89,-1.73,0.5,0.632,0.4,63.647,69.324,-5.676,0.72,18.53,2014
Tulsa,34,0.618,6.23,1.17,0.813,0.786,0.462,72.676,67.618,5.059,1.084,21.32,2014
UAB,31,0.581,0.78,-0.77,0.438,0.706,0.5,73.097,70.323,2.774,0.973,17.52,2014
UC Davis,31,0.29,-11.55,-1.76,0.25,0.4,0.071,70.129,77.677,-7.548,0.997,19.55,2014
UC Irvine,35,0.657,4.35,-0.65,0.813,0.75,0.588,70.514,63.743,6.771,1.23,18.4,2014
UC Riverside,31,0.323,-7.64,-2.33,0.313,0.533,0.133,68.29,71.419,-3.129,0.855,19.32,2014
UC Santa Barbara,30,0.7,4.23,-0.13,0.75,0.769,0.643,71.233,65.333,5.9,1.427,18.8,2014
UCLA,37,0.757,18.4,7.62,0.667,0.889,0.5,81.162,70.378,10.784,1.678,17.62,2014
UNC Asheville,32,0.531,-6.81,-5.5,0.625,0.846,0.333,77.688,75.75,1.938,0.918,19.13,2014
UNC Greensboro,32,0.438,-12.33,-6.12,0.438,0.563,0.333,70.844,74.156,-3.313,0.85,21.28,2014
UNC Wilmington,32,0.281,-8.75,-0.78,0.188,0.429,0.176,63.063,69.406,-6.344,0.943,18.16,2014
UT Arlington,32,0.469,-4.92,-0.92,0.5,0.643,0.313,76.344,77.75,-1.406,0.905,19.81,2014
Utah,33,0.636,12.66,6.21,0.5,0.9,0.182,75.121,64.303,10.818,1.273,17.06,2014
Utah St.,32,0.563,4.77,3.09,0.389,0.722,0.364,69.219,66.625,2.594,1.445,17.66,2014
Utah Valley,32,0.625,-4.42,-3.65,0.813,0.867,0.4,67.531,65.406,2.125,1.276,16.75,2014
UTEP,34,0.676,4.39,0.05,0.75,0.7,0.8,69.029,63.294,5.735,1.016,18.18,2014
UTSA,30,0.267,-11.1,-1.03,0.25,0.438,0.077,68.867,76.8,-7.933,0.668,20.63,2014
Valparaiso,34,0.529,0.21,-0.24,0.563,0.667,0.357,71.735,67.147,4.588,0.864,20.76,2014
Vanderbilt,31,0.484,5.52,6.49,0.389,0.625,0.273,64.581,65.548,-0.968,0.976,17.45,2014
Vermont,33,0.667,4.52,-4.57,0.938,0.833,0.529,70.727,60.606,10.121,1.071,18.64,2014
Villanova,34,0.853,18.97,7.5,0.889,0.938,0.833,77.971,66.5,11.471,1.288,19.76,2014
Virginia,37,0.811,18.38,7.86,0.889,0.882,0.636,66.189,55.676,10.514,1.337,16.05,2014
VCU,35,0.743,14.55,4.78,0.75,1,0.545,74.971,65.2,9.771,1.085,19.6,2014
VMI,35,0.629,-5.53,-6.33,0.688,0.824,0.438,88.257,82.6,5.657,1.323,18.89,2014
Virginia Tech,31,0.29,1.9,5.99,0.111,0.444,0.111,62.903,67,-4.097,0.862,16.9,2014
Wagner,31,0.613,-3.83,-6.73,0.75,0.769,0.533,71.516,68.452,3.065,0.901,20.45,2014
Wake Forest,33,0.515,5.49,6.73,0.333,0.778,0.1,69.697,70.939,-1.242,1.073,19.27,2014
Washington,32,0.531,6.26,6.45,0.5,0.778,0.273,74.5,74.688,-0.188,1.17,19.31,2014
Washington St.,31,0.323,1.34,7.24,0.167,0.467,0.091,62.387,67.129,-4.742,0.915,18.23,2014
Weber St.,31,0.613,-0.92,-4.23,0.7,0.867,0.357,72.71,66.484,6.226,1.065,18,2014
West Virginia,33,0.515,11.78,8.02,0.5,0.688,0.25,77.152,73.394,3.758,1.337,20.73,2014
Western Carolina,34,0.559,-6.75,-6.43,0.625,0.846,0.313,74.235,72.618,1.618,1.005,22.32,2014
Western Illinois,30,0.333,-7.55,-2.74,0.286,0.583,0.071,61.267,62.667,-1.4,0.933,18.43,2014
Western Kentucky,32,0.625,-1.47,-1.34,0.667,0.765,0.5,68.625,67.563,1.063,0.832,19,2014
Western Michigan,33,0.697,1.73,-1.45,0.778,0.867,0.462,71.909,67.727,4.182,0.81,18.24,2014
Wichita St.,36,0.972,16.65,1.74,1,1,1,75.167,59.472,15.694,1.313,16.97,2014
William & Mary,32,0.625,-1.48,-2.29,0.625,0.714,0.571,73.125,71.281,1.844,1.35,16.22,2014
Winthrop,33,0.606,-6.43,-6.56,0.625,0.8,0.333,74,71.364,2.636,0.917,19.67,2014
Wisconsin,38,0.789,19.69,10.19,0.667,0.824,0.727,73.5,64,9.5,1.524,15.11,2014
Wofford,33,0.606,-4.32,-5.95,0.688,0.692,0.5,66.818,62.242,4.576,1.205,17.52,2014
Wright St.,36,0.583,0.21,-2.8,0.625,0.813,0.294,67.194,62.056,5.139,1.027,19.67,2014
Wyoming,33,0.545,4.4,2.34,0.5,0.778,0.214,64.545,61.667,2.879,1.191,16.76,2014
Xavier,34,0.618,11.84,8.14,0.556,0.882,0.4,71.824,68.118,3.706,1.181,19.82,2014
Yale,33,0.576,-1.66,-1.28,0.643,0.692,0.474,66.939,66.121,0.818,0.888,19.3,2014
Youngstown St.,32,0.469,-2.3,-1.26,0.375,0.733,0.133,76.906,74.063,2.844,1.398,18.97,2014
Air Force,32,0.563,4.06,4.16,0.5,0.867,0.214,70.031,67.813,2.219,1.337,17.41,2013
Akron,33,0.788,8.12,0.18,0.875,0.938,0.636,71.788,62.758,9.03,1.059,17.48,2013
Alabama,36,0.639,9.82,5.96,0.667,0.8,0.333,63,58.389,4.611,0.843,17.19,2013
Alabama A&M,31,0.355,-18.41,-9.82,0.333,0.538,0.2,63.129,69.677,-6.548,0.827,17.74,2013
Alabama St.,32,0.313,-17.9,-9.03,0.444,0.583,0.176,61.844,69.719,-7.875,0.775,18.69,2013
Albany,35,0.686,-0.86,-4.51,0.563,0.733,0.688,64.314,60.657,3.657,0.842,16.11,2013
Alcorn St.,34,0.294,-14.27,-7.11,0.444,0.385,0.222,60.441,66.118,-5.676,0.602,19.91,2013
American,30,0.333,-8.55,-2.52,0.357,0.538,0.176,57.833,63.867,-6.033,0.956,14.37,2013
Appalachian St.,31,0.484,-7.88,-5.74,0.556,0.714,0.267,71.323,71.645,-0.323,0.848,18.55,2013
Arizona,35,0.771,17.31,7.48,0.667,0.875,0.636,73.429,63.6,9.829,1.039,16.69,2013
Arizona St.,35,0.629,8.82,4.57,0.5,0.8,0.364,71.771,67.514,4.257,1.117,15.8,2013
Arkansas,32,0.594,9.83,4.99,0.556,0.944,0.1,73.688,68.844,4.844,1.277,20.28,2013
Arkansas St.,31,0.613,0.79,-4.34,0.6,0.867,0.357,68.613,62.71,5.903,0.794,17.52,2013
Arkansas Pine Bluff,30,0.533,-12.21,-8.28,0.833,1,0.333,62.667,66.6,-3.933,0.882,17.77,2013
Army,31,0.516,-1.48,-4.51,0.571,0.692,0.375,72.419,68.129,4.29,1.011,19.39,2013
Auburn,32,0.281,0.23,4.2,0.167,0.412,0.1,64.813,68.781,-3.969,0.927,20.53,2013
Austin Peay,31,0.258,-12.31,-4.28,0.25,0.385,0.143,71.548,76.484,-4.935,0.906,15.81,2013
Ball St.,30,0.5,-6.7,-3.14,0.5,0.5,0.538,65.233,68.033,-2.8,0.78,17.2,2013
Baylor,37,0.622,15.07,7.12,0.5,0.75,0.364,75.973,66.378,9.595,1.332,17.08,2013
Belmont,33,0.788,10.41,-0.92,0.875,1,0.692,76.758,64.515,12.242,1.173,18.3,2013
Bethune-Cookman,34,0.412,-9.51,-6.41,0.438,0.692,0.125,67.147,68.176,-1.029,1.045,20.53,2013
Binghamton,30,0.1,-18.51,-3.68,0.063,0.143,0.067,55.867,69.367,-13.5,0.536,16.9,2013
Boise St.,32,0.656,9.38,5.21,0.563,0.933,0.385,73.219,65.469,7.75,1.099,18.72,2013
Boston College,33,0.485,6.11,7.04,0.389,0.667,0.3,67.121,68.061,-0.939,1.074,15.73,2013
Boston University,30,0.567,-0.58,-3.92,0.688,0.75,0.438,67.833,64.5,3.333,1.091,16.8,2013
Bowling Green St.,32,0.406,-3.32,-1.75,0.438,0.688,0.077,62.813,63.531,-0.719,0.939,16.09,2013
Bradley,35,0.514,1.25,1.96,0.389,0.778,0.286,67.743,68.457,-0.714,1.058,17.57,2013
BYU,36,0.667,10.63,3.72,0.625,0.833,0.583,77.139,69.5,7.639,1.331,18.83,2013
Brown,28,0.464,-6.32,-3.02,0.5,0.615,0.333,62.429,64.286,-1.857,0.881,16.82,2013
Bryant,31,0.613,-2.07,-4.71,0.667,0.688,0.533,74,71.355,2.645,1.175,16.52,2013
Bucknell,34,0.824,6.96,-1.95,0.857,0.933,0.75,66.971,57.824,9.147,1.417,14.65,2013
Buffalo,34,0.412,-1.94,-0.34,0.438,0.6,0.286,66.912,67.265,-0.353,0.971,18.59,2013
Butler,36,0.75,11.01,6.09,0.688,0.875,0.636,69.306,63.861,5.444,0.981,17.89,2013
Cal Poly,32,0.563,-0.77,-0.94,0.667,0.929,0.25,64.813,63.125,1.688,1.46,17.16,2013
Cal St. Bakersfield,30,0.467,-6.49,-2.22,NA,0.692,0.214,68.033,69,-0.967,0.896,20.33,2013
Cal St. Fullerton,32,0.438,-3.27,-3.33,0.333,0.462,0.375,76.594,74.406,2.188,1.177,18.59,2013
Cal St. Northridge,31,0.452,-4.18,-2.22,0.278,0.462,0.333,75.258,74.484,0.774,1.121,19.52,2013
California,33,0.636,10.59,7.71,0.667,0.688,0.545,67.212,64.333,2.879,1.122,16.64,2013
Campbell,33,0.394,-10.23,-5.53,0.438,0.5,0.308,69.212,72.576,-3.364,1.011,18.76,2013
Canisius,34,0.588,2.38,-0.98,0.611,0.75,0.471,73.5,70.147,3.353,0.96,17,2013
Central Arkansas,30,0.433,-10.89,-6.14,0.389,0.533,0.385,76.467,78.633,-2.167,0.979,20.87,2013
Central Connecticut St.,30,0.433,-8.23,-4.03,0.5,0.5,0.412,72.867,77.067,-4.2,1,16.13,2013
UCF,31,0.645,3.46,0.98,0.563,0.737,0.455,70.774,67.065,3.71,1.009,14.06,2013
Central Michigan,31,0.355,-6.15,-1.22,0.25,0.5,0.133,67.484,71.806,-4.323,1.005,16.58,2013
Charleston Southern,32,0.594,-1.92,-5.48,0.75,0.786,0.4,73.781,67,6.781,1.003,15.84,2013
Charlotte,33,0.636,2.72,2.78,0.5,0.8,0.417,67.545,67.606,-0.061,0.766,19.73,2013
Chattanooga,32,0.406,-10.43,-4.93,0.444,0.471,0.308,69.313,72.438,-3.125,0.849,17.81,2013
Chicago St.,33,0.333,-11.79,-4.92,0.375,0.615,0.111,65.182,68.97,-3.788,0.841,20.45,2013
Cincinnati,34,0.647,14.47,6.94,0.5,0.722,0.444,66.529,59,7.529,0.961,17.79,2013
Clemson,31,0.419,5.85,4.46,0.278,0.533,0.25,61.516,60.129,1.387,0.941,16.03,2013
Cleveland St.,32,0.438,-7.33,-0.16,0.313,0.643,0.188,64.094,69.563,-5.469,0.861,19.59,2013
Coastal Carolina,29,0.483,-5.56,-5.18,0.563,0.75,0.154,67,63.448,3.552,0.751,18.55,2013
Colgate,32,0.344,-8.72,-2.57,0.357,0.583,0.158,63.531,69.688,-6.156,0.974,17.53,2013
College of Charleston,35,0.686,0.2,-3.83,0.778,0.588,0.846,65.629,62.171,3.457,0.839,14.34,2013
Colorado,33,0.636,11.91,7.91,0.556,0.8,0.417,67.576,63.576,4,0.747,15.91,2013
Colorado St.,35,0.743,13.6,5.84,0.688,0.941,0.5,72.943,63.686,9.257,1.144,17.14,2013
Columbia,28,0.429,-3.24,-3.47,0.286,0.462,0.357,62.357,60.5,1.857,1.101,18.61,2013
Connecticut,30,0.667,11.89,7.42,0.556,0.813,0.444,69.867,65.4,4.467,1.117,16.2,2013
Coppin St.,32,0.25,-12.64,-4.19,0.313,0.364,0.211,63.594,71.156,-7.563,0.695,18.03,2013
Cornell,31,0.419,-7.25,-2.35,0.357,0.286,0.467,65.806,69.935,-4.129,0.883,17.74,2013
Creighton,36,0.778,16.43,5.15,0.722,0.882,0.583,74.444,63.167,11.278,1.375,16.33,2013
Dartmouth,28,0.321,-9.2,-3.16,0.357,0.462,0.2,61.393,65.857,-4.464,0.786,18.93,2013
Davidson,34,0.765,7.3,-3.43,0.944,0.923,0.692,73.235,62.059,11.176,1.275,17.68,2013
Dayton,31,0.548,9.37,4.28,0.438,0.765,0.2,71.774,66.677,5.097,0.962,19.77,2013
Delaware,33,0.576,-0.76,-0.79,0.722,0.692,0.533,68.97,68.939,0.03,0.763,16.85,2013
Delaware St.,33,0.455,-11.18,-5.89,0.5,0.727,0.294,60.515,63.455,-2.939,0.72,15.61,2013
Denver,32,0.688,9.18,0.24,0.889,0.875,0.533,64.875,55.938,8.938,1.445,17.41,2013
DePaul,32,0.344,1.71,5.61,0.111,0.412,0.333,71.375,75.281,-3.906,0.963,19.13,2013
Detroit,33,0.606,6.72,1.62,0.75,0.867,0.412,77.818,70.909,6.909,1.332,17.82,2013
Drake,32,0.469,3.42,5.13,0.389,0.6,0.364,71.75,72.469,-0.719,0.984,19.53,2013
Drexel,31,0.419,-1.06,-0.96,0.5,0.357,0.538,63,63.097,-0.097,0.992,18.68,2013
Duke,36,0.833,21.46,9.57,0.778,1,0.556,77.167,65.278,11.889,1.345,17.92,2013
Duquesne,30,0.267,-4.52,3.51,0.063,0.4,0.143,67.6,75.633,-8.033,0.876,17.43,2013
East Carolina,35,0.657,2.57,0.82,0.563,0.81,0.462,76.543,70.971,5.571,1.358,17.66,2013
East Tennessee St.,32,0.313,-11.53,-2.11,0.444,0.385,0.313,62.313,71.375,-9.063,0.764,16,2013
Eastern Illinois,32,0.344,-8.92,-5.08,0.375,0.357,0.267,60.406,64.219,-3.813,1.017,16.53,2013
Eastern Kentucky,35,0.714,1.7,-3.88,0.75,0.938,0.529,73.886,65.8,8.086,1.261,19.4,2013
